route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
53,E40H/Enviro400H MMC,Volvo B5LH ADL Enviro400 MMC | ADL Enviro400H | ADL Enviro400 MMC | ADL Enviro400H MMC,61,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,61
533,E20D/Enviro200 MMC,ADL Enviro200 MMC | ADL Enviro200,14,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,14
54,E40D/Enviro400 MMC,Volvo B5LH ADL Enviro400 MMC | ADL Enviro400 | ADL Enviro400 MMC,47,ALEXANDER DENNIS,E40D/Enviro400 MMC,diesel,double,47
55,New Bus for London,ADL Enviro400H | ADL Enviro400H City,4,ALEXANDER DENNIS,New Bus for London,hybrid,double,4
56,E40H/Enviro400H,ADL Enviro400H City | ADL Enviro400H,37,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,37
57,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,37,BYD,DD/Enviro400EV City,electric,double,38
58,BZL (dd)/MCV,Volvo BZL DD,24,VOLVO,BZL (dd)/MCV,electric,double,24
59,New Bus for London,,0,WRIGHTBUS,New Bus for London,hybrid,double,0
6,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3 | Volvo B5LH Wright Eclipse Gemini 2,51,VOLVO,B5LH/Gemini 3,hybrid,double,51
60,BYD B11E02 10.9m,BYD BD11 | VDL DB300 Wright Gemini 2,52,BYD,BYD B11E02 10.9m,electric,single,52
601,E40H/Enviro400H MMC,ADL Enviro400,1,VOLVO,E40H/Enviro400H MMC,hybrid,double,6
602,E40D/Enviro400,ADL Enviro400 | ADL Enviro400H,2,ALEXANDER DENNIS,E40D/Enviro400,diesel,double,2
603,,Wright StreetDeck Electroliner,2,WRIGHTBUS,,diesel,single,2
606,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,2,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,2
608,E40H/Enviro400H,,0,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,0
61,Trident/Enviro400,ADL Enviro400 | Wright StreetDeck Electroliner | ADL Enviro400EV | ADL Enviro400 MMC,24,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,24
612,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,1,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,1
613,B5LH/Gemini 3,,0,VOLVO,B5LH/Gemini 3,hybrid,double,0
616,?,ADL Enviro400H City,1,ALEXANDER DENNIS,?,diesel,single,1
617,?,,0,,?,diesel,single,0
618,E40H/Enviro400H,,0,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,0
62,E40D/Enviro400 MMC,ADL Enviro400 | ADL Enviro400 MMC | ADL Enviro400H MMC,30,ALEXANDER DENNIS,E40D/Enviro400 MMC,diesel,double,30
621,E40D/Enviro400H MMC,,0,ALEXANDER DENNIS,E40D/Enviro400H MMC,hybrid,double,0
